# Copyright (c) 2018, NVIDIA CORPORATION.  All rights reserved.
# NVIDIA CORPORATION and its licensors retain all intellectual property
# and proprietary rights in and to this software, related documentation
# and any modifications thereto. Any use, reproduction, disclosure or
# distribution of this software and related documentation without an express
# license agreement from NVIDIA CORPORATION is strictly prohibited.
#
#
# dataset : NVGaze real eye (AR) / 32
#
#
imagefile,eye,gaze_x,gaze_y
000001.jpg,L,-0.5922,0.1962
000002.jpg,L,-0.5922,0.1962
000003.jpg,L,-0.5922,0.1962
000004.jpg,L,-0.5922,0.1962
000005.jpg,L,-0.5922,0.1962
000006.jpg,L,-0.5922,0.1962
000007.jpg,L,-0.5922,0.1962
000008.jpg,L,-0.5922,0.1962
000009.jpg,L,-0.5922,0.1962
000010.jpg,L,-0.5922,0.1962
000011.jpg,L,-0.5922,0.1962
000012.jpg,L,-0.5922,0.1962
000013.jpg,L,-0.5922,0.1962
000014.jpg,L,-0.5922,0.1962
000015.jpg,L,-0.5922,0.1962
000016.jpg,L,-0.5922,0.1962
000017.jpg,L,-0.5922,0.1962
000018.jpg,L,-0.5922,0.1962
000019.jpg,L,-0.5922,0.1962
000020.jpg,L,-0.5922,0.1962
000021.jpg,L,-0.5922,0.1962
000022.jpg,L,-0.5922,0.1962
000023.jpg,L,-0.5922,0.1962
000024.jpg,L,-0.5922,0.1962
000025.jpg,L,-0.5922,0.1962
000026.jpg,L,-0.5922,0.1962
000027.jpg,L,-0.5922,0.1962
000028.jpg,L,-0.5922,0.1962
000029.jpg,L,-0.5922,0.1962
000030.jpg,L,-0.5922,0.1962
000031.jpg,L,-0.5922,0.1962
000032.jpg,L,-0.5922,0.1962
000033.jpg,L,-0.5922,0.1962
000034.jpg,L,-0.5922,0.1962
000035.jpg,L,-0.5922,0.1962
000036.jpg,L,-0.5922,0.1962
000037.jpg,L,-0.5922,0.1962
000038.jpg,L,-0.5922,0.1962
000039.jpg,L,-0.5922,0.1962
000040.jpg,L,-0.5922,0.1962
000041.jpg,L,-0.5922,0.1962
000042.jpg,L,-0.5922,0.1962
000043.jpg,L,-0.5922,0.1962
000044.jpg,L,-0.5922,0.1962
000045.jpg,L,-0.5922,0.1962
000046.jpg,L,-0.5922,0.1962
000047.jpg,L,-0.5922,0.1962
000048.jpg,L,-0.5922,0.1962
000049.jpg,L,-0.5922,0.1962
000050.jpg,L,-0.5922,0.1962
000051.jpg,L,-0.5922,0.1962
000052.jpg,L,-0.5922,0.1962
000053.jpg,L,-0.5922,0.1962
000054.jpg,L,-0.5922,0.1962
000055.jpg,L,-0.5922,0.1962
000056.jpg,L,-0.5922,0.1962
000057.jpg,L,-0.5922,0.1962
000058.jpg,L,-0.5922,0.1962
000059.jpg,L,-0.5922,0.1962
000060.jpg,L,-0.5922,0.1962
000061.jpg,L,-0.5922,0.1962
000062.jpg,L,-0.5922,0.1962
000063.jpg,L,-0.5922,0.1962
000064.jpg,L,-0.5922,0.1962
000065.jpg,L,-0.5922,0.1962
000066.jpg,L,-0.5922,0.1962
000067.jpg,L,-0.5922,0.1962
000068.jpg,L,-0.5922,0.1962
000069.jpg,L,-0.5922,0.1962
000070.jpg,L,-0.5922,0.1962
000071.jpg,L,-0.5922,0.1962
000072.jpg,L,-0.5922,0.1962
000073.jpg,L,-0.5922,0.1962
000074.jpg,L,-0.5922,0.1962
000075.jpg,L,-0.5922,0.1962
000076.jpg,L,-0.5922,0.1962
000077.jpg,L,-0.5922,0.1962
000078.jpg,L,-0.5922,0.1962
000079.jpg,L,-0.5922,0.1962
000080.jpg,L,-0.5922,0.1962
000081.jpg,L,-0.5922,0.1962
000082.jpg,L,-0.5922,0.1962
000083.jpg,L,-0.5922,0.1962
000084.jpg,L,-0.5922,0.1962
000085.jpg,L,-0.5922,0.1962
000086.jpg,L,-0.5922,0.1962
000087.jpg,L,-0.5922,0.1962
000088.jpg,L,-0.5922,0.1962
000089.jpg,L,-0.5922,0.1962
000090.jpg,L,-0.5922,0.1962
000091.jpg,L,-0.5922,0.1962
000092.jpg,L,-0.5922,0.1962
000093.jpg,L,-0.5922,0.1962
000094.jpg,L,-0.5922,0.1962
000095.jpg,L,-0.5922,0.1962
000096.jpg,L,-0.5922,0.1962
000097.jpg,L,-0.5922,0.1962
000098.jpg,L,-0.5922,0.1962
000099.jpg,L,-0.5922,0.1962
000100.jpg,L,-0.5922,0.1962
000101.jpg,L,-0.5922,0.1962
000102.jpg,L,-0.5922,0.1962
000103.jpg,L,-0.5922,0.1962
000104.jpg,L,-0.5922,0.1962
000105.jpg,L,-0.5922,0.1962
000106.jpg,L,-0.5922,0.1962
000107.jpg,L,-0.5922,0.1962
000108.jpg,L,-0.5922,0.1962
000109.jpg,L,-0.5922,0.1962
000110.jpg,L,-0.5922,0.1962
000111.jpg,L,-0.5922,0.1962
000112.jpg,L,-0.5922,0.1962
000113.jpg,L,-0.5922,0.1962
000114.jpg,L,-0.5922,0.1962
000115.jpg,L,-0.5922,0.1962
000116.jpg,L,-0.5922,0.1962
000117.jpg,L,-0.5922,0.1962
000118.jpg,L,-0.5922,0.1962
000119.jpg,L,-0.5922,0.1962
000120.jpg,L,-0.5922,0.1962
000121.jpg,L,-0.5922,0.1962
000122.jpg,L,-0.5922,0.1962
000123.jpg,L,-0.5922,0.1962
000124.jpg,L,-0.5922,0.1962
000125.jpg,L,-0.5922,0.1962
000126.jpg,L,-0.5922,0.1962
000127.jpg,L,-0.5922,0.1962
000128.jpg,L,-0.5922,0.1962
000129.jpg,L,-0.5922,0.1962
000130.jpg,L,-0.5922,0.1962
000131.jpg,L,-0.5922,0.1962
000132.jpg,L,-0.5922,0.1962
000133.jpg,L,-0.5922,0.1962
000134.jpg,L,-0.5922,0.1962
000135.jpg,L,-0.5922,0.1962
000136.jpg,L,-0.5922,0.1962
000137.jpg,L,-0.5922,0.1962
000138.jpg,L,-0.5922,0.1962
000139.jpg,L,-0.5922,0.1962
000140.jpg,L,-0.5922,0.1962
000141.jpg,L,-0.5922,0.1962
000142.jpg,L,-0.5922,0.1962
000143.jpg,L,-0.5922,0.1962
000144.jpg,L,-0.5922,0.1962
000145.jpg,L,-0.5922,0.1962
000146.jpg,L,-0.5922,0.1962
000147.jpg,L,-0.5922,0.1962
000148.jpg,L,-0.5922,0.1962
000149.jpg,L,-0.5922,0.1962
000150.jpg,L,-0.5922,0.1962
000151.jpg,L,-0.5922,0.1962
000152.jpg,L,-0.5922,0.1962
000153.jpg,L,-0.5922,0.1962
000154.jpg,L,-0.5922,0.1962
000155.jpg,L,-0.5922,0.1962
000156.jpg,L,-0.5922,0.1962
000157.jpg,L,-0.5922,0.1962
000158.jpg,L,-0.5922,0.1962
000159.jpg,L,-0.5922,0.1962
000160.jpg,L,-0.5922,0.1962
000161.jpg,L,-0.5922,0.1962
000162.jpg,L,-0.5922,0.1962
000163.jpg,L,-0.5922,0.1962
000164.jpg,L,-0.5922,0.1962
000165.jpg,L,-0.5922,0.1962
000166.jpg,L,-0.5922,0.1962
000167.jpg,L,-0.5922,0.1962
000168.jpg,L,-0.5922,0.1962
000169.jpg,L,-0.5922,0.1962
000170.jpg,L,-0.5922,0.1962
000171.jpg,L,-0.5922,0.1962
000172.jpg,L,-0.5922,0.1962
000173.jpg,L,-0.5922,0.1962
000174.jpg,L,-0.5922,0.1962
000175.jpg,L,-0.5922,0.1962
000176.jpg,L,-0.5922,0.1962
000177.jpg,L,-0.5922,0.1962
000178.jpg,L,-0.5922,0.1962
000179.jpg,L,-0.5922,0.1962
000180.jpg,R,-0.5922,0.1962
000181.jpg,R,-0.5922,0.1962
000182.jpg,R,-0.5922,0.1962
000183.jpg,R,-0.5922,0.1962
000184.jpg,R,-0.5922,0.1962
000185.jpg,R,-0.5922,0.1962
000186.jpg,R,-0.5922,0.1962
000187.jpg,R,-0.5922,0.1962
000188.jpg,R,-0.5922,0.1962
000189.jpg,R,-0.5922,0.1962
000190.jpg,R,-0.5922,0.1962
000191.jpg,R,-0.5922,0.1962
000192.jpg,R,-0.5922,0.1962
000193.jpg,R,-0.5922,0.1962
000194.jpg,R,-0.5922,0.1962
000195.jpg,R,-0.5922,0.1962
000196.jpg,R,-0.5922,0.1962
000197.jpg,R,-0.5922,0.1962
000198.jpg,R,-0.5922,0.1962
000199.jpg,R,-0.5922,0.1962
000200.jpg,R,-0.5922,0.1962
000201.jpg,R,-0.5922,0.1962
000202.jpg,R,-0.5922,0.1962
000203.jpg,R,-0.5922,0.1962
000204.jpg,R,-0.5922,0.1962
000205.jpg,R,-0.5922,0.1962
000206.jpg,R,-0.5922,0.1962
000207.jpg,R,-0.5922,0.1962
000208.jpg,R,-0.5922,0.1962
000209.jpg,R,-0.5922,0.1962
000210.jpg,R,-0.5922,0.1962
000211.jpg,R,-0.5922,0.1962
000212.jpg,R,-0.5922,0.1962
000213.jpg,R,-0.5922,0.1962
000214.jpg,R,-0.5922,0.1962
000215.jpg,R,-0.5922,0.1962
000216.jpg,R,-0.5922,0.1962
000217.jpg,R,-0.5922,0.1962
000218.jpg,R,-0.5922,0.1962
000219.jpg,R,-0.5922,0.1962
000220.jpg,R,-0.5922,0.1962
000221.jpg,R,-0.5922,0.1962
000222.jpg,R,-0.5922,0.1962
000223.jpg,R,-0.5922,0.1962
000224.jpg,R,-0.5922,0.1962
000225.jpg,R,-0.5922,0.1962
000226.jpg,R,-0.5922,0.1962
000227.jpg,R,-0.5922,0.1962
000228.jpg,R,-0.5922,0.1962
000229.jpg,R,-0.5922,0.1962
000230.jpg,R,-0.5922,0.1962
000231.jpg,R,-0.5922,0.1962
000232.jpg,R,-0.5922,0.1962
000233.jpg,R,-0.5922,0.1962
000234.jpg,R,-0.5922,0.1962
000235.jpg,R,-0.5922,0.1962
000236.jpg,R,-0.5922,0.1962
000237.jpg,R,-0.5922,0.1962
000238.jpg,R,-0.5922,0.1962
000239.jpg,R,-0.5922,0.1962
000240.jpg,R,-0.5922,0.1962
000241.jpg,R,-0.5922,0.1962
000242.jpg,R,-0.5922,0.1962
000243.jpg,R,-0.5922,0.1962
000244.jpg,R,-0.5922,0.1962
000245.jpg,R,-0.5922,0.1962
000246.jpg,R,-0.5922,0.1962
000247.jpg,R,-0.5922,0.1962
000248.jpg,R,-0.5922,0.1962
000249.jpg,R,-0.5922,0.1962
000250.jpg,R,-0.5922,0.1962
000251.jpg,R,-0.5922,0.1962
000252.jpg,R,-0.5922,0.1962
000253.jpg,R,-0.5922,0.1962
000254.jpg,R,-0.5922,0.1962
000255.jpg,R,-0.5922,0.1962
000256.jpg,R,-0.5922,0.1962
